etrait.name	chr	start	stop
Bra000001	A03	8774373	8777743
Bra000002	A03	8778041	8780879
Bra000003	A03	8792058	8793927
Bra000004	A03	8797000	8797898
Bra000005	A03	8798351	8800713
Bra000006	A03	8801020	8801503
Bra000007	A03	8803752	8804697
Bra000008	A03	8809543	8811257
Bra000009	A03	8812843	8816602
Bra000010	A03	8820357	8822854
Bra000011	A03	8822885	8824809
Bra000012	A03	8835693	8838210
Bra000013	A03	8842268	8846466
Bra000014	A03	8846283	8849525
Bra000015	A03	8851916	8854145
Bra000016	A03	8864692	8866597
Bra000017	A03	8868132	8868934
Bra000018_Bra000019	A03	8870207	8872294
Bra000020	A03	8878327	8879029
Bra000021	A03	8880536	8881496
Bra000022	A03	8883997	8884750
Bra000023	A03	8888265	8892350
Bra000024	A03	8892447	8895027
Bra000025	A03	8896461	8897208
Bra000026	A03	8896367	8899709
Bra000027	A03	8900443	8904095
Bra000028	A03	8907205	8908268
Bra000029	A03	8909456	8912940
Bra000030	A03	8913312	8914848
Bra000031	A03	8919596	8920199
Bra000032	A03	8920370	8920607
Bra000033	A03	8921914	8925764
Bra000034	A03	8930709	8933067
Bra000035	A03	8938854	8942808
Bra000036	A03	8946526	8948265
Bra000037	A03	8948479	8952301
Bra000038	A03	8962155	8965068
Bra000039	A03	8969620	8974064
Bra000040	A03	8976598	8976881
Bra000041	A03	8980054	8982348
Bra000042	A03	8984936	8986199
Bra000043	A03	8988389	8991214
Bra000044	A03	8993583	8999814
Bra000045	A03	9002209	9005249
Bra000046	A03	9018530	9020055
Bra000047	A03	9023100	9024911
Bra000048	A03	9026452	9030159
Bra000049	A03	9032308	9032491
Bra000050	A03	9035998	9038714
Bra000051	A03	9054760	9055000
Bra000052	A03	9057644	9058803
Bra000053	A03	9065090	9067812
Bra000054	A03	9084204	9085420
Bra000055	A03	9092583	9095170
Bra000056	A03	9096990	9097659
Bra000057	A03	9098570	9100479
Bra000058_Bra000059	A03	9103811	9106034
Bra000060	A03	9114563	9117549
Bra000061	A03	9117830	9118416
Bra000062	A03	9120023	9124398
Bra000063	A03	9127206	9128349
Bra000064	A03	9129242	9131490
Bra000065	A03	9131615	9132526
Bra000066	A03	9133972	9135782
Bra000067	A03	9139009	9141134
Bra000068	A03	9142368	9142755
Bra000069	A03	9143755	9145585
Bra000070	A03	9145635	9147425
Bra000071	A03	9148074	9152129
Bra000072	A03	9152234	9153551
Bra000073	A03	9153820	9154860
Bra000074	A03	9163367	9165180
Bra000075	A03	9165224	9167538
Bra000076	A03	9171701	9173657
Bra000077	A03	9174514	9175999
Bra000078	A03	9176274	9176517
Bra000079	A03	9177247	9178211
Bra000080	A03	9183054	9184195
Bra000081	A03	9188575	9192838
Bra000082	A03	9192855	9193811
Bra000083	A03	9194494	9195553
Bra000084	A03	9196589	9199301
Bra000085	A03	9199639	9201476
Bra000086	A03	9201823	9202590
Bra000087	A03	9203390	9205628
Bra000088	A03	9208096	9209993
Bra000089	A03	9212910	9214404
Bra000090	A03	9214681	9216772
Bra000091	A03	9218701	9220366
Bra000092	A03	9220718	9223835
Bra000093	A03	9224220	9224805
Bra000094	A03	9225543	9228594
Bra000095	A03	9230765	9231089
Bra000096	A03	9232254	9234877
Bra000097	A03	9234794	9235466
Bra000098	A03	9236597	9238375
Bra000099	A03	9239100	9240261
Bra000100	A03	9241566	9246257
Bra000101	A03	9246603	9247559
Bra000102	A03	9249712	9252289
Bra000103	A03	9253550	9257524
Bra000104	A03	9257604	9258203
Bra000105	A03	9258575	9261672
Bra000106	A03	9263261	9266055
Bra000107	A03	9269712	9271612
Bra000108	A03	9272128	9276312
Bra000109	A03	9285981	9288859
Bra000110	A03	9293386	9297887
Bra000111	A03	9304691	9307935
Bra000112	A03	9309323	9310542
Bra000113	A03	9311075	9313619
Bra000114	A03	9314407	9329983
Bra000115	A03	9331755	9333918
Bra000116	A03	9334581	9336094
Bra000117	A03	9337401	9339912
Bra000118	A03	9339970	9341670
Bra000119	A03	9356475	9359644
Bra000120	A03	9364018	9369581
Bra000121	A03	9369698	9374018
Bra000122	A03	9382784	9386070
Bra000123	A03	9397336	9397759
Bra000124	A03	9411209	9413967
Bra000125	A03	9424231	9427016
Bra000126	A03	9432960	9440312
Bra000127	A03	9446372	9447797
Bra000128	A03	9448085	9451175
Bra000129	A03	9452011	9454587
Bra000130	A03	9457976	9461473
Bra000131	A03	9463053	9467426
Bra000132	A03	9470384	9473382
Bra000133	A03	9474650	9475541
Bra000134	A03	9474541	9477810
Bra000135	A03	9478852	9479944
Bra000136	A03	9480608	9486898
Bra000137	A03	9490703	9491351
Bra000138	A03	9495480	9498159
Bra000139	A03	9498551	9501456
Bra000140	A03	9501767	9504173
Bra000141	A03	9517099	9519424
Bra000142	A03	9520629	9522308
Bra000143	A03	9528571	9530330
Bra000144	A03	9534271	9536904
Bra000145	A03	9537454	9541083
Bra000146	A03	9548870	9550040
Bra000147	A03	9551791	9555023
Bra000148	A03	9555248	9556082
Bra000149	A03	9558762	9561616
Bra000150	A03	9562315	9566646
Bra000151	A03	9572614	9574983
Bra000152	A03	9575564	9582382
Bra000153	A03	9592981	9596118
Bra000154	A03	9599656	9604222
Bra000155	A03	9604378	9606262
Bra000156	A03	9606478	9609337
Bra000157	A03	9616108	9618129
Bra000158	A03	9618744	9620415
Bra000159	A03	9629377	9631464
Bra000160	A03	9633735	9636241
Bra000161	A03	9637649	9639379
Bra000162	A03	9641413	9650963
Bra000163	A03	9651081	9652929
Bra000164	A03	9652612	9655505
Bra000165	A03	9657487	9658213
Bra000166	A03	9670588	9673186
Bra000167	A03	9676324	9678904
Bra000168	A03	9682186	9684951
Bra000169	A03	9693376	9697348
Bra000170	A03	9699009	9701488
Bra000171	A03	9702716	9705093
Bra000172	A03	9705256	9706880
Bra000173	A03	9706927	9707550
Bra000174	A03	9711865	9713554
Bra000175	A03	9713789	9716209
Bra000176	A03	9723578	9725670
Bra000177	A03	9725751	9727129
Bra000178	A03	9727290	9730007
Bra000179	A03	9740491	9742203
Bra000180	A03	9752944	9754736
Bra000181	A03	9759731	9763283
Bra000182	A03	9764004	9766663
Bra000183	A03	9767549	9769171
Bra000184	A03	9772711	9773846
Bra000185	A03	9778104	9779041
Bra000186	A03	9778704	9780696
Bra000187	A03	9783237	9788604
Bra000188	A03	9790797	9792197
Bra000189	A03	9795817	9796075
Bra000190	A03	9800305	9802356
Bra000191	A03	9805222	9805794
Bra000192	A03	9807357	9808807
Bra000193	A03	9809308	9810443
Bra000194	A03	9811042	9812974
Bra000195	A03	9815605	9817985
Bra000196	A03	9821994	9824098
Bra000197	A03	9823977	9826143
Bra000198	A03	9829750	9832105
Bra000199	A03	9833436	9834755
Bra000200	A03	9836992	9839545
Bra000201	A03	9836931	9845161
Bra000202	A03	9847639	9849729
Bra000203	A03	9851400	9853266
Bra000204	A03	9864141	9864707
Bra000205	A03	9872843	9874160
Bra000206	A03	9875262	9876874
Bra000207	A03	9877256	9879204
Bra000208	A03	9880273	9882375
Bra000209	A03	9880273	9885763
Bra000210	A03	9892137	9892512
Bra000211	A03	9892327	9895416
Bra000212	A03	9899572	9903024
Bra000213	A03	9910862	9916761
Bra000214	A03	9928240	9929310
Bra000215	A03	9931174	9934504
Bra000216	A03	9940631	9941352
Bra000217	A03	9942516	9945944
Bra000218	A03	9947806	9949177
Bra000219	A03	9950018	9953041
Bra000220	A03	9955029	9966549
Bra000221	A03	9968187	9968697
Bra000222	A03	9981130	9983570
Bra000223	A03	9987750	9990297
Bra000224	A03	10000219	10001846
Bra000225	A03	10004880	10007534
Bra000226	A03	10008230	10010476
Bra000227	A03	10025607	10027665
Bra000228	A03	10029870	10031614
Bra000229	A03	10045983	10047977
Bra000230	A03	10048355	10050179
Bra000231	A03	10051360	10054590
Bra000232	A03	10054651	10056892
Bra000233	A03	10062757	10063630
Bra000234	A03	10065191	10068124
Bra000235	A03	10071647	10072839
Bra000236	A03	10072783	10085351
Bra000237	A03	10086594	10089381
Bra000238	A03	10090444	10097097
Bra000239	A03	10099219	10100401
Bra000240	A03	10100656	10103093
Bra000241	A03	10104251	10105271
Bra000242	A03	10105633	10108990
Bra000243	A03	10110981	10113753
Bra000244	A03	10116149	10116335
Bra000245	A03	10123322	10124463
Bra000246	A03	10126417	10128074
Bra000247	A03	10128176	10131466
Bra000248	A03	10132013	10134393
Bra000249	A03	10135381	10137750
Bra000250	A03	10139560	10141562
Bra000251	A03	10145238	10147293
Bra000252	A03	10149513	10150393
Bra000253	A03	10150900	10152231
Bra000254	A03	10172094	10175993
Bra000255	A03	10194485	10195069
Bra000256	A03	10197067	10199631
Bra000257	A03	10204829	10206962
Bra000258	A03	10212820	10214737
Bra000259	A03	10215251	10216885
Bra000260	A03	10217154	10220845
Bra000261	A03	10225580	10229378
Bra000262	A03	10231833	10235084
Bra000263_Bra000265	A03	10239498	10240832
Bra000264	A03	10238217	10238439
Bra000266	A03	10243211	10243884
Bra000267	A03	10245805	10253666
Bra000268	A03	10253704	10255727
Bra000269	A03	10265095	10267711
Bra000270	A03	10271327	10273030
Bra000271	A03	10276542	10277796
Bra000272	A03	10278596	10280168
Bra000273	A03	10280709	10281155
Bra000274	A03	10283418	10285698
Bra000275	A03	10286302	10286574
Bra000276	A03	10290220	10290571
Bra000277	A03	10294002	10298137
Bra000278	A03	10303673	10307791
Bra000279	A03	10315607	10320237
Bra000280	A03	10320903	10322894
Bra000281	A03	10322939	10323948
Bra000282	A03	10324866	10327243
Bra000283	A03	10331152	10333236
Bra000284	A03	10338610	10341644
Bra000285	A03	10342246	10343503
Bra000286	A03	10343782	10347157
Bra000287	A03	10349999	10350350
Bra000288	A03	10351599	10353408
Bra000289	A03	10359391	10361152
Bra000290	A03	10361633	10362706
Bra000291	A03	10363467	10365968
Bra000292	A03	10381151	10385253
Bra000293	A03	10386809	10391438
Bra000294	A03	10391094	10393686
Bra000295	A03	10393586	10397569
Bra000296	A03	10398973	10401269
Bra000297	A03	10401817	10403966
Bra000298	A03	10404108	10409486
Bra000299	A03	10414244	10415374
Bra000300	A03	10418593	10421894
Bra000301	A03	10429225	10429936
Bra000302	A03	10430531	10431919
Bra000303	A03	10432269	10434363
Bra000304	A03	10434576	10436531
Bra000305	A03	10440222	10442844
Bra000306	A03	10444880	10447589
Bra000307	A03	10454796	10458337
Bra000308	A03	10464482	10469024
Bra000309	A03	10469410	10469824
Bra000310	A03	10476585	10477999
Bra000311	A03	10488187	10489874
Bra000312	A03	10499083	10500650
Bra000313	A03	10503618	10504213
Bra000314	A03	10505870	10507240
Bra000315	A03	10520964	10522642
Bra000316	A03	10523162	10524383
Bra000317	A03	10524568	10528375
Bra000318	A03	10529617	10531847
Bra000319	A03	10532254	10534222
Bra000320	A03	10535110	10537090
Bra000321	A03	10539621	10542381
Bra000322	A03	10543700	10544351
Bra000323	A03	10545042	10545642
Bra000324	A03	10546889	10547740
Bra000325	A03	10549281	10550571
Bra000326	A03	10551016	10553583
Bra000327	A03	10554394	10556327
Bra000328	A03	10561798	10564909
Bra000329	A03	10566665	10568109
Bra000330	A03	10584710	10586385
Bra000331	A03	10591214	10592756
Bra000332	A03	10598902	10601570
Bra000333	A03	10605770	10610834
Bra000334	A03	10611488	10613298
Bra000335	A03	10613602	10615495
Bra000336	A03	10615815	10617621
Bra000337	A03	10618523	10619403
Bra000338	A03	10622128	10624240
Bra000339	A03	10624437	10632373
Bra000340	A03	10638180	10638594
Bra000341	A03	10639007	10640287
Bra000342	A03	10645122	10646964
Bra000343	A03	10648274	10651052
Bra000344	A03	10652640	10655136
Bra000345	A03	10655572	10657438
Bra000346	A03	10657792	10659935
Bra000347	A03	10662027	10664763
Bra000348	A03	10671989	10678695
Bra000349	A03	10679528	10680530
Bra000350	A03	10684324	10684858
Bra000351	A03	10690664	10695348
Bra000352	A03	10701603	10702502
Bra000353	A03	10703762	10706448
Bra000354	A03	10706971	10709157
Bra000355	A03	10711030	10713020
Bra000356	A03	10713165	10714102
Bra000357	A03	10714304	10716683
Bra000358	A03	10719454	10720415
Bra000359	A03	10721151	10723234
Bra000360	A03	10723658	10725470
Bra000361	A03	10726744	10727833
Bra000362	A03	10730728	10734246
Bra000363	A03	10738381	10740196
Bra000364	A03	10741253	10742530
Bra000365	A03	10746895	10751122
Bra000366	A03	10760696	10761826
Bra000367	A03	10766614	10768564
Bra000368	A03	10768880	10769632
Bra000369	A03	10776224	10777372
Bra000370	A03	10779756	10782935
Bra000371	A03	10783511	10787100
Bra000372	A03	10790120	10795013
Bra000373	A03	10797588	10799573
Bra000374	A03	10800417	10804539
Bra000375	A03	10806975	10809191
Bra000376	A03	10815973	10817239
Bra000377	A03	10818595	10819466
Bra000378	A03	10822950	10825509
Bra000379	A03	10835755	10838014
Bra000380	A03	10839541	10840241
Bra000381	A03	10843074	10843812
Bra000382	A03	10844533	10847231
Bra000383	A03	10853635	10855539
Bra000384	A03	10856100	10859096
Bra000385	A03	10859785	10861093
Bra000386	A03	10859304	10863219
Bra000387	A03	10863521	10866293
Bra000388	A03	10872103	10873047
Bra000389	A03	10874486	10875037
Bra000390	A03	10878947	10881012
Bra000391	A03	10882240	10884457
Bra000392	A03	10894848	10897350
Bra000393	A03	10898351	10901985
Bra000394	A03	10910848	10914350
Bra000395	A03	10916683	10919158
Bra000396	A03	10927119	10929380
Bra000397	A03	10929486	10930482
Bra000398	A03	10930763	10931783
Bra000399	A03	10931936	10934166
Bra000400	A03	10934486	10936966
