Bra000001	DNAse I-like superfamily protein
Bra000002	nodulin MtN21 /EamA-like transporter family protein
Bra000003	No annotation found
Bra000004	No annotation found
Bra000005	ARF-GAP domain 7
Bra000006	Histone superfamily protein
Bra000007	RING/U-box superfamily protein
Bra000008	DNA binding with one finger 2.4
Bra000009	Ribosomal protein L36e family protein
Bra000010	actin 1
Bra000011	myb-like HTH transcriptional regulator family protein
Bra000012	GRAS family transcription factor
Bra000013	phosphoribosylaminoimidazole carboxylase, putative / AIR carboxylase, putative
Bra000014	Fatty acid hydroxylase superfamily
Bra000015	receptor lectin kinase
Bra000016	AICARFT/IMPCHase bienzyme family protein
Bra000017	No annotation found
Bra000018_Bra000019	NAD(P)-linked oxidoreductase superfamily protein
Bra000020	Cysteine/Histidine-rich C1 domain family protein
Bra000021	Cysteine/Histidine-rich C1 domain family protein
Bra000022	Cysteine/Histidine-rich C1 domain family protein
Bra000023	Protein kinase superfamily protein
Bra000024	Protein of unknown function (DUF3411)
Bra000025	Protein of unknown function, DUF617
Bra000026	Mitochondrial substrate carrier family protein
Bra000027	Major facilitator superfamily protein
Bra000028	copper ion transmembrane transporters
Bra000029	Arabidopsis Inositol phosphorylceramide synthase 2
Bra000030	RING/FYVE/PHD zinc finger superfamily protein
Bra000031	SOUL heme-binding family protein
Bra000032	Yos1-like protein
Bra000033	O-fucosyltransferase family protein
Bra000034	ribosome biogenesis regulatory protein (RRS1) family protein
Bra000035	vacuoleless1 (VCL1)
Bra000036	Cysteine proteinases superfamily protein
Bra000037	acetyl Co-enzyme a carboxylase carboxyltransferase alpha subunit
Bra000038	Duplicated homeodomain-like superfamily protein
Bra000039	Transmembrane amino acid transporter family protein
Bra000040	No annotation found
Bra000041	SGNH hydrolase-type esterase superfamily protein
Bra000042	SGNH hydrolase-type esterase superfamily protein
Bra000043	RING/U-box superfamily protein
Bra000044	suppressor of npr1-1 constitutive 4
Bra000045	2-oxoglutarate (2OG) and Fe(II)-dependent oxygenase superfamily protein
Bra000046	Homeodomain-like superfamily protein
Bra000047	CAX-interacting protein 2
Bra000048	tetratricopeptide repeat (TPR)-containing protein
Bra000049	Ribosomal protein L6 family
Bra000050	Protein of Unknown Function (DUF239)
Bra000051	No annotation found
Bra000052	PYR1-like 4
Bra000053	TRICHOME BIREFRINGENCE-LIKE 34
Bra000054	C2H2-like zinc finger protein
Bra000055	MATE efflux family protein
Bra000056	prenylated RAB acceptor 1.B4
Bra000057	Plant protein of unknown function (DUF827)
Bra000058_Bra000059	Peroxidase superfamily protein
Bra000060	alanine:glyoxylate aminotransferase 3
Bra000061	SCAR homolog 2
Bra000062	No annotation found
Bra000063	No annotation found
Bra000064	WRKY DNA-binding protein 33
Bra000065	Uncharacterised protein family (UPF0497)
Bra000066	CBL-interacting protein kinase 22
Bra000067	2-oxoglutarate (2OG) and Fe(II)-dependent oxygenase superfamily protein
Bra000068	lipid transfer protein 1
Bra000069	transcript elongation factor IIS
Bra000070	No annotation found
Bra000071	Mitochondrial ATP synthase D chain-related protein
Bra000072	Putative endonuclease or glycosyl hydrolase
Bra000073	Putative endonuclease or glycosyl hydrolase
Bra000074	HAD superfamily, subfamily IIIB acid phosphatase 
Bra000075	RNA-binding KH domain-containing protein
Bra000076	Protein of Unknown Function (DUF239)
Bra000077	cyclin-dependent kinase B1;2
Bra000078	No annotation found
Bra000079	Protein of unknown function (DUF567)
Bra000080	Protein of unknown function (DUF567)
Bra000081	galacturonosyltransferase 7
Bra000082	Amino acid dehydrogenase family protein
Bra000083	Galactose oxidase/kelch repeat superfamily protein
Bra000084	phosphorylethanolamine cytidylyltransferase 1
Bra000085	5\'-nucleotidases;magnesium ion binding
Bra000086	No annotation found
Bra000087	auxin-responsive GH3 family protein
Bra000088	AMMECR1 family
